"","cv","val","cv.p","val.p","model","KLD.pr","KLD.pr2","KLD.roc","KS.pr","KS.pr2","KS.roc","KSp.pr","KSp.pr2","KSp.roc","area.pr","area.roc","dist.pr.mean","dist.pr.max","dist.roc.mean","fileIdx"
"18",5,2,1,0.25,1,0.237407186246605,0.242654545674654,0.125798485793723,1,1,0.448275862068966,0,0,0.00531875305470209,0.0101626097042688,0.00970396001208986,0.236318339383321,0.252886002886003,-Inf,"100"
"181",5,2,1,0.25,2,0.121186717628495,0.125243278133594,0.0557655320991268,0.896551724137931,0.896551724137931,0.344827586206897,2.05213623871714e-12,2.05213623871714e-12,0.0635987895707569,0.00971731219364992,0.00952312289454087,0.23223723468751,0.285714285714286,-Inf,"100"
"182",5,2,1,0.25,3,0.101849634490833,0.10099288226034,0.0825592927414082,0.862068965517241,0.862068965517241,0.241379310344828,2.82210921298542e-11,2.82210921298542e-11,0.371964475605593,0.00960114757686233,0.00932543446070341,0.232628533634788,0.326923076923077,-Inf,"100"
"19",5,3,1,0.5,1,0.385292807952907,0.399247962850249,0.219926672741874,0.96551724137931,0.96551724137931,0.517241379310345,3.77475828372553e-15,3.77475828372553e-15,0.000674683263012898,0.0093168740311508,0.00992736526514967,0.157445121344109,0.177171717171717,-Inf,"100"
"191",5,3,1,0.5,2,0.21819399017691,0.220722285765256,0.0693034167442367,0.827586206896552,0.827586206896552,0.172413793103448,3.04790637173369e-10,3.04790637173369e-10,0.79122779675525,0.00931695052422397,0.0100737413248228,0.157633421745043,0.21,-Inf,"100"
"192",5,3,1,0.5,3,0.163398998164601,0.165094280937265,0.0491329423006688,0.931034482758621,0.931034482758621,0.344827586206897,1.09690034832965e-13,1.09690034832965e-13,0.0635987895707569,0.00960136824840579,0.00993822588145975,0.155271183890691,0.251208791208791,-Inf,"100"
"20",5,4,1,0.75,1,0.0968767269254925,0.0951090528336799,0.0519795499898479,0.689655172413793,0.689655172413793,0.379310344827586,7.08336685528721e-07,7.08336685528721e-07,0.0308299001597533,0.00958871911634371,0.0103579457856086,0.0752861495697542,0.0947227375798805,-Inf,"100"
"201",5,4,1,0.75,2,0.104339453017877,0.102222797850495,0.0072509113423773,0.586206896551724,0.586206896551724,0.137931034482759,5.9319977714134e-05,5.9319977714134e-05,0.951436959555977,0.00974135257860169,0.0103473696718197,0.0728835873144685,0.127551020408163,-Inf,"100"
"202",5,4,1,0.75,3,0.198397043748956,0.200479472825777,0.191557811345183,0.448275862068966,0.448275862068966,0.137931034482759,0.00531875305470209,0.00531875305470209,0.951436959555977,0.00990575597487527,0.0103344033133977,0.0709703941916193,0.168759811616955,-Inf,"100"
"110",1,2,0,0.25,1,0.0544248085916209,0.0512332342337392,0.230433215924363,0.40625,0.40625,0.59375,0.00951627543895994,0.00951627543895994,1.43366645879439e-05,0.0130062592322291,0.0188849629300143,-0.0820149499516827,0.135151515151515,-Inf,"25"
